material_group,lines,purchase_orders,spend,spend_share,cumulative_spend_share
1203,320,194,4978593.74,0.00020746883602975949,0.9961524301148651
1610,16,16,4708272.5,0.0001962039616604519,0.9963486340765255
1332,427,241,4557762.71,0.00018993189115759065,0.9965385659676831
2202,19,19,4508024.5,0.00018785919170191993,0.996726425159385
1409,91,91,4493675.0,0.00018726121680818838,0.9969136863761933
1207,280,98,4318530.58,0.00017996256766102833,0.9970936489438543
1200,173,99,4147722.8,0.00017284463574047213,0.9972664935795948
0022,10,5,4137653.0,0.00017242500525962626,0.9974389185848545
2500,73,59,4007877.42,0.000167016974411203,0.9976059355592657
1337,260,165,3859442.81,0.00016083138117514367,0.9977667669404409
1210,39,28,3566173.8,0.00014861022328884065,0.9979153771637297
1333,32,31,2506681.11,0.0001044588571288979,0.9980198360208586
1214,256,113,2299970.59,9.584477989762208e-05,0.9981156808007563
1100,252,168,2222357.15,9.261045894315401e-05,0.9982082912596995
3053,55,35,2213058.61,9.222296854499669e-05,0.9983005142282444
1340,77,63,2193707.76,9.141657651235686e-05,0.9983919308047567
9914,127,34,2171783.7,9.050295321895544e-05,0.9984824337579757
1209,407,170,1797518.87,7.490652324253085e-05,0.9985573402812182
2600,671,355,1761045.31,7.338659062013905e-05,0.9986307268718384
3056,55,33,1739529.13,7.248996457400441e-05,0.9987032168364124
2005,51,18,1485838.9,6.1918140585365e-05,0.9987651349769977
1605,52,40,1420445.86,5.919307029408082e-05,0.9988243280472918
2212,15,15,1403325.0,5.847960679785497e-05,0.9988828076540897
0410,1415,456,1332219.56,5.551648836670861e-05,0.9989383241424563
1404,22,21,1263820.0,5.266612984395281e-05,0.9989909902723003
2400,108,79,1134296.7,4.726861205216501e-05,0.9990382588843525
2203,2,2,1127000.0,4.696454268340018e-05,0.9990852234270359
1216,135,99,1102359.14,4.593770442144304e-05,0.9991311611314573
1602,43,25,1009526.9,4.206918295039101e-05,0.9991732303144076
2700,101,77,905082.03,3.771673791474133e-05,0.9992109470523224
9905,204,103,903216.46,3.763899555281243e-05,0.9992485860478751
1609,42,16,886762.52,3.695332406440063e-05,0.9992855393719395
1204,71,40,846497.42,3.527538971870287e-05,0.9993208147616582
1211,75,68,763263.96,3.180687030001868e-05,0.9993526216319583
2402,15,6,740466.0,3.0856829691753856e-05,0.99938347846165
1215,94,59,710113.86,2.9591989962772014e-05,0.9994130704516128
1335,48,35,661409.25,2.756236286851881e-05,0.9994406328144813
9906,317,124,622494.0700000001,2.5940682627043923e-05,0.9994665734971083
1613,14,5,620123.23,2.5841884564598922e-05,0.9994924153816729
1213,11,8,604716.0,2.5199831759835866e-05,0.9995176152134327
2216,8,8,599600.0,2.498663690591548e-05,0.9995426018503386
1219,96,74,553582.57,2.3068990450356137e-05,0.999565670840789
1208,48,21,550568.25,2.2943377175909443e-05,0.9995886142179649
1212,61,46,503648.0,2.0988108246148298e-05,0.999609602326211
1206,73,41,500476.2,2.0855932437378817e-05,0.9996304582586484
2401,34,26,477032.0,1.9878961601905726e-05,0.9996503372202503
9903,102,55,440107.73,1.8340246912936434e-05,0.9996686774671633
9915,5,5,439928.0,1.8332757172691103e-05,0.9996870102243359
1612,13,9,439650.0,1.8321172307681357e-05,0.9997053313966436
9911,85,47,416732.54,1.7366151874349396e-05,0.999722697548518
2300,1,1,416000.0,1.733562533832695e-05,0.9997400331738563
9907,73,50,404791.32,1.6868535249343303e-05,0.9997569017091056
3002,12,10,385390.0,1.6060040021965924e-05,0.9997729617491276
1331,31,29,377804.04,1.5743916559486272e-05,0.999788705665687
9904,67,42,345642.63,1.4403680612100883e-05,0.9998031093462991
3058,13,11,331303.61,1.38061424427769e-05,0.9998169154887419
9902,65,46,326865.53,1.3621197990609781e-05,0.9998305366867325
9900,86,60,321331.04,1.3390563747632093e-05,0.9998439272504801
1300,31,14,263665.5,1.0987515198660204e-05,0.9998549147656788
1220,56,46,247720.37,1.0323046930268576e-05,0.999865237812609
9908,86,62,240088.21,1.000499821324414e-05,0.9998752428108223
2313,1,1,235800.0,9.826299170138209e-06,0.9998850691099924
3054,23,18,232611.84,9.693441604564555e-06,0.999894762551597
0080,6,6,222028.3,9.25240245986937e-06,0.9999040149540569
1218,38,33,196334.6,8.181690063822805e-06,0.9999121966441207
3000,3,2,193278.0,8.054314889762395e-06,0.9999202509590105
1341,41,15,181069.7,7.545568459911682e-06,0.9999277965274704
3003,2,1,173378.0,7.225038581510698e-06,0.999935021566052
0405,51,23,169942.27,7.081864235251923e-06,0.9999421034302872
9912,41,26,159101.88,6.630121592075611e-06,0.9999487335518793
1402,23,20,158116.0,6.589037826910828e-06,0.9999553225897062
1339,38,31,154311.98,6.430516034844716e-06,0.9999617531057411
9910,41,32,128596.31,5.35888810108497e-06,0.9999671119938421
0040,1,1,125000.0,5.209022036756896e-06,0.9999723210158789
1607,4,4,124161.59999999999,5.174084084151961e-06,0.999977495099963
9913,81,41,120311.77,5.013653289689819e-06,0.9999825087532527
9909,26,23,75500.54000000001,3.1462718131763645e-06,0.9999856550250659
2404,37,15,71417.5,2.9761226504806852e-06,0.9999886311477163
1604,3,3,58572.0,2.4408227098953995e-06,0.9999910719704262
1601,1,1,46767.17,1.948889753014048e-06,0.9999930208601793
1603,1,1,26569.2,1.1071963863920106e-06,0.9999941280565656
1608,5,5,26565.0,1.1070213632515756e-06,0.9999952350779289
9901,15,15,24509.18,1.0213508697827311e-06,0.9999962564287986
1606,2,2,19716.0,8.216086278135917e-07,0.9999970780374264
0400,7,7,17004.1,7.085978529217435e-07,0.9999977866352794
1201,9,7,15512.5,6.464396347615309e-07,0.9999984330749141
2703,1,1,7600.0,3.167085398348193e-07,0.9999987497834539
3009,20,2,5408.110000000001,2.2536771333764274e-07,0.9999989751511673
4003,2,2,5067.5,2.1117375337012459e-07,0.9999991863249207
0422,7,7,4818.96,2.008165506740001e-07,0.9999993871414714
0402,7,7,3500.0,1.458526170291931e-07,0.9999995329940884
3005,2,2,3463.9,1.443482514649777e-07,0.9999996773423399
0425,25,17,3372.0,1.4051857846355405e-07,0.9999998178609183
GNRL0,1,1,2004.0,8.351104129328656e-08,0.9999999013719596
2403,3,1,1290.0,5.375710741933117e-08,0.999999955129067
00021,2,2,1076.76,4.4870932546386845e-08,0.9999999999999996
