material_group,proposed_internal_category,lines,spend,unspsc_code,unspsc_title,mapping_status
1332,Unclassified,376,3910524.76,,,Requires procurement review
1338,Unclassified,139,3821780.6,,,Requires procurement review
2207,Unclassified,3,3554100.0,,,Requires procurement review
1210,Maintenance and spares,27,3400231.8,,,Requires procurement review
1337,Unclassified,230,3225274.33,,,Requires procurement review
2205,Animal feed and nutrition,4,2860000.0,,,Requires procurement review
0300,Animal feed and nutrition,50,2780344.9,,,Requires procurement review
3053,Unclassified,55,2213058.61,,,Requires procurement review
9914,Unclassified,125,2170883.7,,,Requires procurement review
1405,Animal feed and nutrition,17,2141862.0,,,Requires procurement review
1336,Electrical and automation,13,2111629.48,,,Requires procurement review
1214,Maintenance and spares,171,2028478.97,,,Requires procurement review
1333,Unclassified,10,1999832.53,,,Requires procurement review
2500,Services and logistics,45,1932468.42,,,Requires procurement review
2500,Unclassified,24,1921559.0,,,Requires procurement review
1209,Unclassified,392,1751629.73,,,Requires procurement review
3056,Unclassified,55,1739529.13,,,Requires procurement review
1100,Unclassified,225,1731424.01,,,Requires procurement review
2600,Unclassified,644,1728571.27,,,Requires procurement review
1340,Unclassified,67,1709833.86,,,Requires procurement review
1400,Electrical and automation,16,1704474.0,,,Requires procurement review
2201,Animal feed and nutrition,1,1560000.0,,,Requires procurement review
2005,Unclassified,51,1485838.9,,,Requires procurement review
1605,Unclassified,52,1420445.86,,,Requires procurement review
2212,Animal feed and nutrition,15,1403325.0,,,Requires procurement review
1330,Maintenance and spares,9,1381276.26,,,Requires procurement review
1400,Animal feed and nutrition,15,1356879.1,,,Requires procurement review
1404,Unclassified,22,1263820.0,,,Requires procurement review
1205,Electrical and automation,20,1233233.79,,,Requires procurement review
1205,Packaging materials,13,1151862.0,,,Requires procurement review
2203,Unclassified,2,1127000.0,,,Requires procurement review
1403,Chemicals and laboratory,7,1094300.0,,,Requires procurement review
1602,Unclassified,43,1009526.9,,,Requires procurement review
ASSETS,IT and telecom,19,923408.22,,,Requires procurement review
1216,Unclassified,118,874757.89,,,Requires procurement review
0410,Unclassified,978,839180.73,,,Requires procurement review
1204,Unclassified,70,814497.42,,,Requires procurement review
9905,Unclassified,168,801426.51,,,Requires procurement review
1609,Unclassified,29,777605.69,,,Requires procurement review
1211,Unclassified,75,763263.96,,,Requires procurement review
2402,Unclassified,15,740466.0,,,Requires procurement review
2400,Unclassified,49,701856.7,,,Requires procurement review
1342,Maintenance and spares,8,681238.48,,,Requires procurement review
1215,Unclassified,93,669933.5599999999,,,Requires procurement review
2700,Unclassified,57,669908.61,,,Requires procurement review
1205,Maintenance and spares,52,639131.47,,,Requires procurement review
1337,Electrical and automation,30,634168.48,,,Requires procurement review
1213,Unclassified,11,604716.0,,,Requires procurement review
2216,Unclassified,8,599600.0,,,Requires procurement review
1219,Unclassified,96,553582.57,,,Requires procurement review
1208,Unclassified,47,549878.25,,,Requires procurement review
1335,Unclassified,40,538008.88,,,Requires procurement review
SERVICE,Maintenance and spares,25,521087.16000000003,,,Requires procurement review
1332,Electrical and automation,46,520864.79,,,Requires procurement review
1333,Maintenance and spares,21,505698.58,,,Requires procurement review
1212,Unclassified,60,502983.0,,,Requires procurement review
1206,Unclassified,73,500476.2,,,Requires procurement review
ASSETS,Packaging materials,2,499064.83,,,Requires procurement review
0410,Animal feed and nutrition,377,478538.01,,,Requires procurement review
9906,Unclassified,253,476136.78,,,Requires procurement review
2202,Animal feed and nutrition,3,470942.0,,,Requires procurement review
2401,Unclassified,33,455532.0,,,Requires procurement review
SERVICE,Electrical and automation,9,440522.14999999997,,,Requires procurement review
9915,Unclassified,5,439928.0,,,Requires procurement review
1612,Unclassified,13,439650.0,,,Requires procurement review
2701,IT and telecom,22,431654.3,,,Requires procurement review
1340,Maintenance and spares,8,421773.9,,,Requires procurement review
2300,Unclassified,1,416000.0,,,Requires procurement review
9903,Unclassified,93,410822.67,,,Requires procurement review
1310,Electrical and automation,6,408087.24,,,Requires procurement review
9907,Unclassified,73,404791.32,,,Requires procurement review
9911,Unclassified,76,402795.12,,,Requires procurement review
1100,Packaging materials,19,396953.14,,,Requires procurement review
1613,Unclassified,9,385745.89,,,Requires procurement review
2400,Chemicals and laboratory,58,382640.0,,,Requires procurement review
1101,Packaging materials,44,359946.91,,,Requires procurement review
1203,Construction and facilities,21,345884.24,,,Requires procurement review
3058,Unclassified,13,331303.61,,,Requires procurement review
9904,Unclassified,63,325248.28,,,Requires procurement review
1203,Packaging materials,12,323208.0,,,Requires procurement review
1331,Unclassified,24,302699.0,,,Requires procurement review
9902,Unclassified,57,293674.51,,,Requires procurement review
1310,Animal feed and nutrition,2,274125.05,,,Requires procurement review
1214,Unclassified,85,271491.62,,,Requires procurement review
1101,Construction and facilities,19,270314.64,,,Requires procurement review
9900,Unclassified,72,266458.47,,,Requires procurement review
2204,Chemicals and laboratory,6,256550.0,,,Requires procurement review
1220,Unclassified,56,247720.37,,,Requires procurement review
1203,Maintenance and spares,4,236400.0,,,Requires procurement review
2313,Unclassified,1,235800.0,,,Requires procurement review
1613,Packaging materials,5,234377.34000000003,,,Requires procurement review
3002,Unclassified,8,232970.0,,,Requires procurement review
3054,Unclassified,23,232611.84,,,Requires procurement review
0080,Unclassified,6,222028.3,,,Requires procurement review
SERVICE,Packaging materials,1,221395.0,,,Requires procurement review
1216,Packaging materials,11,217462.0,,,Requires procurement review
1310,Maintenance and spares,5,201141.5,,,Requires procurement review
1218,Unclassified,38,196334.6,,,Requires procurement review
3000,Maintenance and spares,2,192948.0,,,Requires procurement review
SERVICE,IT and telecom,17,192643.41,,,Requires procurement review
1207,Chemicals and laboratory,16,177755.46,,,Requires procurement review
1300,Unclassified,23,174475.5,,,Requires procurement review
3003,Unclassified,2,173378.0,,,Requires procurement review
1210,Unclassified,12,165942.0,,,Requires procurement review
0405,Unclassified,37,160514.2,,,Requires procurement review
9912,Maintenance and spares,41,159101.88,,,Requires procurement review
3002,Maintenance and spares,4,152420.0,,,Requires procurement review
1339,Unclassified,28,144191.98,,,Requires procurement review
1101,Animal feed and nutrition,10,135330.0,,,Requires procurement review
9908,Maintenance and spares,48,133275.51,,,Requires procurement review
1402,Unclassified,20,132126.0,,,Requires procurement review
0040,Unclassified,1,125000.0,,,Requires procurement review
1607,Unclassified,4,124161.59999999999,,,Requires procurement review
1332,IT and telecom,1,117796.6,,,Requires procurement review
1335,Electrical and automation,3,115574.22,,,Requires procurement review
9906,Maintenance and spares,49,114612.68,,,Requires procurement review
9910,Unclassified,34,112684.86,,,Requires procurement review
1341,Unclassified,40,107569.7,,,Requires procurement review
9908,Unclassified,35,105112.7,,,Requires procurement review
9905,Electrical and automation,30,97354.19,,,Requires procurement review
2700,Packaging materials,2,93178.0,,,Requires procurement review
1409,Animal feed and nutrition,1,88000.0,,,Requires procurement review
2500,Packaging materials,1,84150.0,,,Requires procurement review
1100,Animal feed and nutrition,6,83660.0,,,Requires procurement review
2700,IT and telecom,20,81184.83,,,Requires procurement review
1341,Chemicals and laboratory,1,73500.0,,,Requires procurement review
9913,Unclassified,37,73116.09,,,Requires procurement review
1300,Packaging materials,4,66500.0,,,Requires procurement review
9909,Unclassified,18,64176.85,,,Requires procurement review
1205,Animal feed and nutrition,6,63695.99,,,Requires procurement review
2700,Electrical and automation,21,60132.62,,,Requires procurement review
2500,Construction and facilities,1,60000.0,,,Requires procurement review
1340,Animal feed and nutrition,1,56700.0,,,Requires procurement review
2404,Unclassified,33,56697.5,,,Requires procurement review
1331,Packaging materials,1,55600.0,,,Requires procurement review
1400,Maintenance and spares,5,54900.0,,,Requires procurement review
1604,Unclassified,2,51372.0,,,Requires procurement review
1101,Chemicals and laboratory,2,50600.0,,,Requires procurement review
2400,Maintenance and spares,1,49800.0,,,Requires procurement review
1609,Construction and facilities,2,46800.0,,,Requires procurement review
1601,Unclassified,1,46767.17,,,Requires procurement review
1205,IT and telecom,1,45000.0,,,Requires procurement review
9913,Maintenance and spares,43,43795.68,,,Requires procurement review
1209,Maintenance and spares,12,43289.0,,,Requires procurement review
1215,Maintenance and spares,1,40180.3,,,Requires procurement review
1101,Electrical and automation,2,34900.0,,,Requires procurement review
9900,Maintenance and spares,9,34832.57,,,Requires procurement review
1204,Maintenance and spares,1,32000.0,,,Requires procurement review
1403,Animal feed and nutrition,1,31401.8,,,Requires procurement review
1600,Chemicals and laboratory,1,30600.0,,,Requires procurement review
2701,Electrical and automation,6,29671.17,,,Requires procurement review
1609,Maintenance and spares,5,28798.33,,,Requires procurement review
1603,Unclassified,1,26569.2,,,Requires procurement review
1608,Unclassified,5,26565.0,,,Requires procurement review
1402,Animal feed and nutrition,3,25990.0,,,Requires procurement review
1609,Electrical and automation,3,25094.5,,,Requires procurement review
9901,Unclassified,15,24509.18,,,Requires procurement review
2401,Packaging materials,1,21500.0,,,Requires procurement review
2701,Maintenance and spares,1,20700.0,,,Requires procurement review
1606,Unclassified,2,19716.0,,,Requires procurement review
1300,Maintenance and spares,3,18850.0,,,Requires procurement review
9900,Services and logistics,1,18800.0,,,Requires procurement review
1331,Electrical and automation,3,18305.04,,,Requires procurement review
9904,Maintenance and spares,2,17992.0,,,Requires procurement review
0400,Unclassified,7,17004.1,,,Requires procurement review
2600,Packaging materials,9,16071.439999999999,,,Requires procurement review
9902,Electrical and automation,5,15988.42,,,Requires procurement review
1201,Unclassified,9,15512.5,,,Requires procurement review
1205,Chemicals and laboratory,1,15502.5,,,Requires procurement review
9903,Electrical and automation,6,14960.06,,,Requires procurement review
2404,Packaging materials,4,14720.0,,,Requires procurement review
9906,Animal feed and nutrition,2,14385.92,,,Requires procurement review
9903,Maintenance and spares,3,14325.0,,,Requires procurement review
9911,Maintenance and spares,9,13937.42,,,Requires procurement review
1207,Maintenance and spares,1,13900.0,,,Requires procurement review
9902,Services and logistics,1,13795.0,,,Requires procurement review
2600,Maintenance and spares,15,13633.599999999999,,,Requires procurement review
0410,Packaging materials,51,12581.6,,,Requires procurement review
1400,Packaging materials,1,12000.0,,,Requires procurement review
ASSETS,Maintenance and spares,12,11939.47,,,Requires procurement review
9906,Electrical and automation,8,11477.32,,,Requires procurement review
9910,Maintenance and spares,6,11428.63,,,Requires procurement review
9909,Maintenance and spares,8,11323.689999999999,,,Requires procurement review
1100,IT and telecom,2,10320.0,,,Requires procurement review
1339,Maintenance and spares,10,10120.0,,,Requires procurement review
2500,Maintenance and spares,2,9700.0,,,Requires procurement review
2701,Packaging materials,1,9466.12,,,Requires procurement review
0405,Packaging materials,14,9428.07,,,Requires procurement review
1609,Packaging materials,3,8464.0,,,Requires procurement review
2703,Unclassified,1,7600.0,,,Requires procurement review
1604,Chemicals and laboratory,1,7200.0,,,Requires procurement review
9906,Services and logistics,3,5566.97,,,Requires procurement review
1342,Packaging materials,1,5500.0,,,Requires procurement review
1340,Packaging materials,1,5400.0,,,Requires procurement review
1216,Construction and facilities,2,5339.25,,,Requires procurement review
4003,Unclassified,2,5067.5,,,Requires procurement review
1332,Maintenance and spares,3,5026.56,,,Requires procurement review
0422,Unclassified,7,4818.96,,,Requires procurement review
1216,Maintenance and spares,4,4800.0,,,Requires procurement review
3009,Unclassified,18,4691.64,,,Requires procurement review
9910,Electrical and automation,1,4482.82,,,Requires procurement review
9905,Maintenance and spares,6,4435.76,,,Requires procurement review
1335,Maintenance and spares,4,4012.15,,,Requires procurement review
1300,Electrical and automation,1,3840.0,,,Requires procurement review
1335,Services and logistics,1,3814.0,,,Requires procurement review
1101,Maintenance and spares,2,3650.0,,,Requires procurement review
1332,Packaging materials,1,3550.0,,,Requires procurement review
0402,Unclassified,7,3500.0,,,Requires procurement review
3005,Unclassified,2,3463.9,,,Requires procurement review
9902,Maintenance and spares,2,3407.6,,,Requires procurement review
9913,Construction and facilities,1,3400.0,,,Requires procurement review
0425,Unclassified,25,3372.0,,,Requires procurement review
1334,Maintenance and spares,1,3093.6,,,Requires procurement review
2600,Animal feed and nutrition,3,2769.0,,,Requires procurement review
SERVICE,Chemicals and laboratory,1,2650.0,,,Requires procurement review
1209,Construction and facilities,3,2600.14,,,Requires procurement review
9904,Electrical and automation,2,2402.35,,,Requires procurement review
GNRL0,Unclassified,1,2004.0,,,Requires procurement review
0410,Maintenance and spares,9,1919.22,,,Requires procurement review
9908,Packaging materials,3,1700.0,,,Requires procurement review
2403,Unclassified,3,1290.0,,,Requires procurement review
1203,Electrical and automation,4,1275.0,,,Requires procurement review
1310,Packaging materials,1,1200.0,,,Requires procurement review
1331,Maintenance and spares,3,1200.0,,,Requires procurement review
1333,Electrical and automation,1,1150.0,,,Requires procurement review
00021,Unclassified,2,1076.76,,,Requires procurement review
1101,Services and logistics,1,938.0,,,Requires procurement review
9914,Services and logistics,2,900.0,,,Requires procurement review
9900,Construction and facilities,2,840.0,,,Requires procurement review
1208,Maintenance and spares,1,690.0,,,Requires procurement review
2700,Maintenance and spares,1,677.97,,,Requires procurement review
1212,Maintenance and spares,1,665.0,,,Requires procurement review
3009,Maintenance and spares,1,556.0,,,Requires procurement review
9900,Packaging materials,2,400.0,,,Requires procurement review
3000,Unclassified,1,330.0,,,Requires procurement review
9906,Packaging materials,2,314.4,,,Requires procurement review
3009,Electrical and automation,1,160.47,,,Requires procurement review
1600,Packaging materials,1,156.0,,,Requires procurement review
