canonical_description,short_text,lines,purchase_orders,spend,spend_share,cumulative_spend_share,abc_class
ib ross breeder layer feed pl 5,IB Ross Breeder Layer Feed (Pl-5),39,29,28585799.5,0.001191232476270514,0.9325507085543252,B
rape seed doc,Rape seed DOC,85,85,28389539.04,0.001183053875781842,0.9337337624301071,B
ib ross breeder layer feed pl4,IB Ross Breeder Layer Feed-PL4,34,22,26035938.8,0.0010849742316548312,0.934818736661762,B
enradin f80,Enradin F80,2,2,23769000.0,0.0009905059583333975,0.9358092426200953,B
alimet,Alimet,4,4,23631000.0,0.0009847551980048178,0.9367939978181001,B
doc broiler ross,DOC Broiler (Ross),117,56,21005984.32,0.0008753650818131987,0.9376693628999133,B
cattle feed,Cattle Feed,58,58,20308020.0,0.0008462793896231983,0.9385156422895365,B
electrolytic tin plate 0 260x885x660,Electrolytic Tin Plate 0.260X885X660,3,3,19555440.0,0.0008149177431878183,0.9393305600327244,B
ib ross breeder grower,IB Ross Breeder Grower,25,18,19528713.7,0.0008138040001025304,0.940144364032827,B
layer live bird kg,Layer Live Bird Kg,120,120,19003471.06,0.0007919159962112954,0.9409362800290383,B
haxene new,Haxene (New),12,12,15773374.57,0.0006573108458332067,0.9415935908748715,B
diesel new,Diesel (New),292,266,15558489.47,0.000648356116063041,0.9422419469909346,B
ngp feed,NGP Feed,94,94,14741216.5,0.000614298572776835,0.9428562455637114,B
cotton seed doc,Cotton Seed Doc,17,17,14664474.120000001,0.0006111005507882496,0.9434673461144997,B
deo oil rice brand dorb,Deo  Oil Rice Brand(DORB),69,69,14517879.87,0.0006049916493585547,0.9440723377638582,B
die cpm 7936 14 674332 4 0mmx70 16ar,Die CPM 7936-14(674332)4.0MMX70*16AR,1,1,14477400.0,0.0006033047650795543,0.9446756425289378,B
feeding trough filling system,Feeding Trough Filling System,1,1,14155000.0,0.0005898696554423509,0.9452655121843802,B
poultry equipment parts gartech,Poultry Equipment & parts (Gartech),5,5,13969957.0,0.0005821585109243701,0.9458476706953045,B
fish meal powder shm,Fish Meal Powder (SHM),11,11,12379441.2,0.0005158782561082898,0.9463635489514128,B
bulk lpg gas,Bulk LPG Gas,18,18,12101686.34,0.0005043036066158393,0.9468678525580286,B
pp bag finisher 1 blue strips 50kg,PP Bag Finisher 1(Blue Strips) 50kg,9,9,12030400.0,0.0005013329496880014,0.9473691855077166,B
breeder live bird kg,Breeder Live Bird Kg,30,30,11866186.51,0.0004944898161828592,0.9478636753238995,B
monicox,Monicox,3,3,11680000.0,0.00048673101911456444,0.948350406343014,B
new tin,New Tin,68,68,11583868.0,0.0004827249894630643,0.9488331313324772,B
sodium bio carbonate tech,Sodium Bio Carbonate Tech,2,2,11419920.0,0.0004758929195040065,0.9493090242519812,B
smp,SMP,8,8,11418728.3,0.00047584325877151695,0.9497848675107526,B
encivax r vaccine,Encivax-R Vaccine,67,67,11390791.25,0.0004746790610987811,0.9502595465718514,C
anichol 75 liq cholin chloride,ANICHOL 75 (LIQ. CHOLIN CHLORIDE),2,2,11207050.0,0.00046702216333629104,0.9507265687351877,C
tox free,Tox Free,3,3,11014400.0,0.0004589940185732413,0.9511855627537609,C
pcm procured cow milk kg,PCM Procured Cow Milk (KG),74,74,10903375.2,0.000454367373534629,0.9516399301272955,C
choline chloride,Choline Chloride,5,5,10588300.0,0.00044123750425434437,0.9520811676315499,C
consultancy fee,Consultancy Fee,1,1,10497500.0,0.0004374536706468442,0.9525186213021968,C
lsp m grit rajsthan,LSP/M-GRIT (Rajsthan),96,96,10446106.26,0.0004353119816531533,0.9529539332838499,C
built up section,Built-up Section.,3,3,10320337.5,0.00043007092371414864,0.9533840042075641,C
zinc sulphate,Zinc Sulphate,2,2,10026388.35,0.0004178214229138609,0.953801825630478,C
pp bag grower 28 3 4mm 24 x44,PP Bag Grower 28/3 4mm (24''x44''),5,5,10000694.0,0.0004167506834308998,0.9542185763139089,C
vetmulin 10,Vetmulin-10%,1,1,9900000.0,0.0004125545453111462,0.9546311308592201,C
flesh of poultry o,Flesh of Poultry (O),10,10,9499187.35,0.00039585180989945877,0.9550269826691196,C
l threonine,L-Threonine,4,4,9303500.0,0.0003876970921517423,0.9554146797612713,C
potassium sulphate food grade,Potassium Sulphate (Food Grade),6,6,9054560.0,0.0003773232205851002,0.9557920029818564,C
0706403sw roller corragate,0706403SW Roller Corragate,1,1,8845200.0,0.0003685987337561768,0.9561606017156126,C
poultry oil,Poultry Oil,7,7,8583712.2,0.00035770196805583215,0.9565183036836684,C
jar 5 ltr,Jar 5 Ltr,12,12,8413647.06,0.000350614983560279,0.9568689186672287,C
tata lpk 1615 36 bs iv,"Tata LPK 1615/36, BS-IV",1,1,8300781.25,0.0003459116196283877,0.957214830286857,C
enrodac bh 1ltr,Enrodac Bh 1LTR,104,104,8256870.0,0.00034408174227709535,0.9575589120291341,C
electrolytic tin plate 0 265x1020x0764,Electrolytic Tin Plate 0.265X1020X0764,3,3,8236532.5,0.000343234234391715,0.9579021462635259,C
vitamin e 50,Vitamin E 50%,5,5,8167625.0,0.00034036270890373235,0.9582425089724296,C
cockrel live bird kg,Cockrel live Bird Kg,73,73,8150345.05,0.0003396426157809799,0.9585821515882106,C
di calcium phosphate dcp,Di Calcium Phosphate (DCP),9,9,8104678.399999999,0.000337739587091421,0.958919891175302,C
bolero slx,Bolero SLX,13,1,8098030.33,0.0003374625475463658,0.9592573537228484,C
fish oil,Fish Oil,3,3,7981832.4,0.00033262032692240153,0.9595899740497708,C
civil work 800tpd poultry feed plant,Civil Work 800TPD Poultry Feed Plant,2,1,7934344.649999999,0.00033064140903259345,0.9599206154588034,C
optiphos ct,Optiphos CT,3,3,7905000.0,0.00032941855360450615,0.9602500340124078,C
pouch boxes 1ltr,Pouch Boxes(1Ltr),19,19,7834913.8,0.00032649790912232573,0.9605765319215301,C
mg bacc,MG Bacc,6,6,7480000.0,0.00031170787867953266,0.9608882398002097,C
ib ross breeder male feed,IB Ross Breeder Male Feed,71,39,7350455.0,0.0003063094566015193,0.9611945492568111,C
rice husk poultry,Rice Husk(Poultry),38,38,7259396.43,0.00030251484781939475,0.9614970641046305,C
copper sulphate,Copper Sulphate,8,8,7232960.0,0.0003014131842478493,0.9617984772888784,C
vectormune nd live hvt vetored vac,Vectormune ND (Live HVT Vetored Vac.),4,4,7065600.0,0.0002944389288232762,0.9620929162177017,C
kanki,Kanki,32,32,6968340.640000001,0.00029038591962710926,0.9623833021373288,C
ib ross breeder starter,IB Ross Breeder Starter,8,7,6919297.4,0.0002883421810837976,0.9626716443184126,C
clon 30 vacc 1000dose,Clon-30 Vacc. (1000Dose),214,214,6880532.65,0.0002867267695878026,0.9629583710880004,C
dpas ahhs corragate roller,DPAS/AHHS Corragate Roller,1,1,6691200.0,0.000278836866018782,0.9632372079540192,C
fat,Fat,7,7,6558829.199999999,0.0002733206867049968,0.9635105286407243,C
nobilis 4 rio ib g nd,Nobilis-4 (RIO+IB+G+ND),6,6,6426312.0,0.0002677984065846023,0.9637783270473089,C
veldot,Veldot,2,2,6350000.0,0.00026461831946725034,0.9640429453667761,C
ib nefro killed,IB Nefro Killed,14,14,6342300.0,0.0002642974437097861,0.964307242810486,C
pouch roll 1000ml kg,Pouch Roll 1000Ml_KG,3,3,6329300.0,0.0002637557054179634,0.9645709985159039,C
chemical egg trays 20 lbs,Chemical Egg Trays 20 LBS,13,12,6251040.0,0.00026049444090119067,0.964831492956805,C
egg shell chilka cn,Egg Shell (Chilka & CN),280,280,6241725.0,0.0002601062645790115,0.9650915992213841,C
hostazym x 15000 powder,Hostazym X 15000 powder,3,3,6240000.0,0.0002600343800749043,0.965351633601459,C
pp bag starter partnershi green s 50kg,PP Bag Starter Partnershi (Green S) 50kg,6,6,6203865.0,0.00025852855598451857,0.9656101621574436,C
l lysine,L-Lysine,6,6,5968700.0,0.0002487287186463271,0.9658588908760899,C
transmune ibd 2000dose vacc,TRANSMUNE IBD 2000DOSE VACC.,5,5,5950000.0,0.00024794944894962825,0.9661068403250396,C
supply of conveyor bridge,Supply Of Conveyor Bridge,3,3,5881212.0,0.0002450829032867128,0.9663519232283263,C
bioceutox,BIOCEUTOX,5,5,5820000.0,0.0002425320660314011,0.9665944552943577,C
ashok leyland 3118 super 8x2,Ashok Leyland 3118 Super 8X2,3,1,5765625.0,0.00024026614144541185,0.9668347214358032,C
acify,Acify,116,116,5515200.0,0.0002298303866969731,0.9670645518225002,C
erection fabrication charges of,Erection & Fabrication charges of,27,2,5399137.0,0.00022499378889975617,0.9672895456113999,C
un wash tin r,Un Wash Tin (R),47,47,5359212.0,0.000223330027261216,0.9675128756386612,C
nobilis salanvac 1000 dose,Nobilis Salanvac 1000 Dose,7,7,5291699.2,0.00022051662195751072,0.9677333922606187,C
coxiril 0 5,Coxiril 0.5%,2,2,5279175.0,0.00021999471128716873,0.9679533869719059,C
die 660 228 s db164 26 x 8 996 1x27x27,"DIE 660.228 S-DB164 (26""X 8.996) 1X27X27",1,1,5237400.0,0.00021825385612248455,0.9681716408280284,C
ms plate 40 mm,Ms Plate 40 mm,2,2,5124625.0,0.00021355427644092248,0.9683851951044693,C
gumboro plus 1000 dose,Gumboro Plus (1000 Dose),159,159,5105100.0,0.00021274062719878106,0.9685979357316681,C
ms petrol,MS (Petrol),6,6,5058042.0,0.0002107796179267354,0.9688087153495948,C
pp bag maintenance 24 3 4mm 24 x44,PP Bag Maintenance 24/3 4mm (24''x44''),3,3,4958085.0,0.00020661419220091053,0.9690153295417957,C
wash clay salasar mines,Wash Clay (Salasar Mines),5,5,4870480.0,0.00020296350119666985,0.9692182930429923,C
pqg 99 pac 5ltr,PQG-99 (pac.-5Ltr.),62,62,4838400.0,0.00020162665778115655,0.9694199197007735,C
phosphoric acid,Phosphoric Acid,3,3,4789330.0,0.00019958180409040727,0.9696195015048639,C
skimmed milk kg loose,Skimmed Milk (KG) (Loose),16,16,4708272.5,0.0001962039616604519,0.9698157054665243,C
brick work for 230mm width,Brick Work : for 230mm width,2,2,4660676.0,0.0001942205119214719,0.9700099259784457,C
tri reo killed,Tri Reo Killed,6,6,4550550.0,0.00018963132183491275,0.9701995573002806,C
ibh killed vacc,IBH Killed Vacc.,23,23,4549000.0,0.000189566729961657,0.9703891240302422,C
neomycine doxycycline premix,Neomycine+Doxycycline  premix,9,8,4534670.0,0.00018896956767536316,0.9705780935979176,C
ib soya doc 48,IB Soya DOC (48%),17,17,4529549.48,0.00018875618446320596,0.9707668497823808,C
eggs catoon,Eggs Catoon,22,19,4469658.75,0.00018626040740426627,0.970953110189785,C
cement,Cement,10,7,4272970.65,0.00017806398622612353,0.9711311741760111,C
layer doc,Layer DOC,10,5,4137653.0,0.00017242500525962626,0.9713035991812707,C
van aarsan corragate roller,VAN AARSAN Corragate Roller,1,1,4086000.0,0.00017027251233750943,0.9714738716936082,C
selisseo,Selisseo,3,3,4022500.0,0.00016762632914283694,0.971641498022751,C
die 660 228 s db164 26 x 8 996 1 2x30x30,"DIE 660.228 S-DB164(26""X 8.996)1.2X30X30",1,1,3927700.0,0.0001636758068301605,0.9718051738295812,C
gumboro inter 1000 dose,Gumboro Inter. (1000 Dose),170,170,3852045.0,0.00016052309833263376,0.9719656969279138,C
adept dfz 2 wsp feed premix,Adept (DFZ 2% WSP) feed premix,3,3,3848000.0,0.0001603545343795243,0.9721260514622934,C
amprolium,Amprolium,14,14,3830990.0,0.00015964569066076242,0.9722856971529541,C
tilmovet liquid 240ml,Tilmovet Liquid 240ml,6,6,3672000.0,0.00015302023135177058,0.9724387173843059,C
pp bag pre starter yellow s 50kg,PP Bag Pre-Starter (Yellow S) 50kg,6,6,3621780.0,0.00015092745465828314,0.9725896448389642,C
nobilis ib multi nd,Nobilis IB Multi+ND,8,8,3470563.2,0.00014462592151006027,0.9727342707604743,C
ms beam 500x180 mm 86 92 kg mtr,"MS Beam 500X180 mm, 86.92 kg / mtr",3,2,3425000.0,0.00014272720380713896,0.9728769979642814,C
fabriction charges for,Fabriction charges for,1,1,3420000.0,0.0001425188429256687,0.9730195168072071,C
rcc m 20 proportion 1 1 5 3,RCC (M-20) Proportion 1:1.5:3,2,2,3399064.0,0.00014164639424277636,0.9731611632014499,C
fish protien hydrolysate,Fish Protien Hydrolysate,3,3,3376200.0,0.00014069360160398907,0.9733018568030538,C
dg set 160 kva 3 phase,DG Set 160 KVA - 3 Phase,2,1,3368000.0,0.00014035188975837783,0.9734422086928122,C
cold forms gi 120 gsm,"Cold Forms, GI 120 GSM",3,3,3365730.0,0.00014025729391819032,0.9735824659867304,C
ashok leyland 1618 4x2 tipper 3607 mm,Ashok Leyland 1618 4x2 Tipper - 3607 MM,1,1,3359376.0,0.00013999250891001788,0.9737224584956404,C
frozen liver,Frozen liver,10,10,3316025.0,0.0001381859783954943,0.973860644474036,C
pp bag soya doc 50 kg for 50 24 x44,"Pp Bag Soya Doc 50 Kg For 50% (24""X44"")",4,4,3300500.0,0.0001375390178585291,0.9739981834918945,C
sheeting accessories,Sheeting & Accessories,3,3,3292717.25,0.00013721469372847655,0.974135398185623,C
tin making charges,Tin Making Charges,1,1,3200000.0,0.00013335096414097654,0.974268749149764,C
erection fabrication charges for,Erection & fabrication charges for,8,1,3195200.0,0.00013315093769476508,0.9744019000874587,C
hvt sb1 vaccine,HVT - SB1 Vaccine,5,5,3164800.0,0.0001318841035354258,0.9745337841909941,C
manganese sulphate,Manganese Sulphate,2,2,3154217.5,0.00013144310772979397,0.974665227298724,C
1 5 b3 broiler concentrate finisher,1.5% B3 BROILER CONCENTRATE (FINISHER),3,3,3137062.5,0.00013072822154546946,0.9747959555202694,C
hyundai grand magna,Hyundai Grand Magna,6,1,3050322.0,0.00012711355613763495,0.974923069076407,C
niacin,NIACIN,1,1,3015000.0,0.00012564161152657635,0.9750487106879336,C
professional fees in respect of,Professional fees in respect of :,2,2,3000000.0,0.0001250165288821655,0.9751737272168158,C
gumboro plus 2000dose,Gumboro plus.(2000dose),104,102,2997720.0,0.00012492151632021508,0.9752986487331361,C
formoline,Formoline,85,85,2992465.0,0.0001247025290337898,0.9754233512621698,C
wash clay regular grade,Wash Clay (Regular Grade),5,5,2925000.0,0.00012189111566011137,0.9755452423778299,C
coryza killed,Coryza Killed,11,11,2889576.0,0.00012041492048707076,0.975665657298317,C
clinofeed,Clinofeed,4,4,2860000.0,0.00011918242420099779,0.975784839722518,C
inactivated ib a nefro killed,Inactivated IB+ A Nefro Killed,5,5,2860000.0,0.00011918242420099779,0.9759040221467189,C
green,GREEN,223,165,2834330.5,0.00011811272027161755,0.9760221348669905,C
potassium iodate,Potassium Iodate,2,2,2830000.0,0.00011793225891217613,0.9761400671259027,C
armod cable 300 sqmm x 3 5 core all,Armod Cable - 300 Sqmm X 3.5 Core - ALL.,4,3,2813960.0,0.0001172638372044195,0.9762573309631072,C
ib ap95 broiler live bird bb kg,IB AP95 Broiler Live Bird_BB Kg,25,25,2780344.9,0.0001158630228310772,0.9763731939859382,C
audit fees 2017 18,AUDIT FEES 2017-18,1,1,2750000.0,0.00011459848480865172,0.9764877924707469,C
boiler combloc cbsg 40,Boiler Combloc - CBSG 40,1,1,2750000.0,0.00011459848480865172,0.9766023909555556,C
amc of sap,AMC of SAP,5,1,2745935.94,0.0001144291265838621,0.9767168200821394,C
free flow salt,Free Flow Salt,20,20,2657903.0,0.00011076060238849812,0.9768275806845279,C
clon 30 vacc 2500dose,Clon-30 Vacc. (2500Dose),173,173,2581587.97,0.00010758038900445202,0.9769351610735324,C
heptocare liq,Heptocare Liq.,82,81,2567800.0,0.00010700581428787488,0.9770421668878203,C
salinoform,SALINOFORM,1,1,2567000.0,0.00010697247654683963,0.9771491393643671,C
pouch boxes 500ml,Pouch Boxes(500Ml),13,13,2540306.6,0.0001058601044761519,0.9772549994688432,C
doxycycline,Doxycycline,2,2,2537500.0,0.000105743147346165,0.9773607426161893,C
feed trough aluminium 111,Feed Trough Aluminium 111,1,1,2532700.1,0.00010554312506717117,0.9774662857412565,C
pcc panel 11500x2100x1000,PCC PANEL 11500x2100x1000,1,1,2524300.0,0.00010519307461908348,0.9775714788158756,C
1 5 b2 broiler concentrate starter,1.5% B2 BROILER CONCENTRATE (STARTER),3,3,2512125.0,0.00010468571587270335,0.9776761645317483,C
lsp m grit,LSP/M-GRIT,25,25,2510925.83,0.00010463574384905682,0.9777808002755973,C
pouch roll 500ml kg,Pouch Roll 500Ml_KG,3,3,2463500.0,0.00010265940630040492,0.9778834596818977,C
erw tubes 50 8mm od x3 25mm t x3943mm l,ERW Tubes -50.8mm Od x3.25Mm T x3943Mm L,4,3,2412354.05,0.00010052804325527798,0.977983987725153,C
cylinder pet food,Cylinder - Pet Food,33,22,2406206.42,0.00010027185813412736,0.9780842595832872,C
professionsal services,Professionsal Services,1,1,2400000.0,0.00010001322310573241,0.9781842728063929,C
muzle1200 25 59 x6 889 1 0x27x27,"MUZLE1200 (25.59""X6.889)1.0X27X27",1,1,2394400.0,9.97798589184857e-05,0.9782840526653114,C
earth work back filling,Earth work Back filling,1,1,2383209.01,9.931350601030068e-05,0.9783833661713217,C
venkasin 100ml,VENKASIN 100ML,40,40,2360000.0,9.834633605397021e-05,0.9784817125073757,C
beat husk new,Beat Husk (New),204,204,2327814.0,9.700507538776974e-05,0.9785787175827635,C
ms tmt 12 mm,Ms Tmt 12 Mm,8,6,2310412.06,9.627989867623117e-05,0.9786749974814397,C
jarry can 2 ltrs,Jarry Can 2 Ltrs,7,7,2310393.88,9.627914107606614e-05,0.9787712766225157,C
maruti swift ldi,Maruti Swift LDi,5,1,2286259.55,9.527341102156724e-05,0.9788665500335373,C
nano pump,Nano Pump,1,1,2275000.0,9.480420106897551e-05,0.9789613542346063,C
ms tmt 8 mm,Ms Tmt 8 Mm,10,8,2263592.21,9.432881363296995e-05,0.9790556830482392,C
cav vaccine,CAV Vaccine,2,2,2262000.0,9.42624627771528e-05,0.9791499455110163,C
supply of step ladder,Supply of step ladder,1,1,2250000.0,9.376239666162413e-05,0.9792437079076779,C
coal,Coal,6,6,2229522.8,9.29090671732155e-05,0.9793366169748511,C
gumboro inter 2000 dose,Gumboro Inter.(2000 DOSE),111,110,2229480.0,9.290728360407013e-05,0.9794295242584552,C
pcc m 7 5 proportion is 1 4 8,PCC (M-7.5) Proportion is 1:4:8,1,1,2214141.44,9.226809242765318e-05,0.9795217923508829,C
distribution transformer 3000 kva,Distribution Transformer 3000 KVA,1,1,2214000.0,9.226219831503816e-05,0.9796140545491979,C
dg set 225 kva 3 phase,DG Set 225 KVA - 3 Phase,1,1,2190000.0,9.126206608398082e-05,0.9797053166152819,C
die van aarsan c750 3 2mm x 50vr,DIE Van Aarsan C750 3.2MM X 50VR,1,1,2188800.0,9.121205947242797e-05,0.9797965286747543,C
pp bag grower 30 4 3mm 24 x44,PP Bag Grower 30/4 3mm (24''x44''),2,2,2184870.0,9.104828781959232e-05,0.9798875769625739,C
lpg cylinder in kg,LPG Cylinder In KG,41,36,2149297.12,8.956588849294506e-05,0.9799771428510669,C
foot rest bbl 109,Foot Rest Bbl 109,1,1,2090426.0,8.711260080167657e-05,0.9800642554518685,C
adept dfz 2 wsp feed,Adept (DFZ 2% WSP) feed,2,2,2072000.0,8.634474928128232e-05,0.9801506002011497,C
pvc flange,PVC Flange,12,12,2054400.0,8.561131897850694e-05,0.9802362115201283,C
hydrogen peroxide,Hydrogen Peroxide,75,75,2045205.0,8.52281433174831e-05,0.9803214396634458,C
die 660 228 s db164 26 x 8 996 1 6x43x43,"DIE 660.228 S-DB164(26""X 8.996)1.6X43X43",1,1,2034000.0,8.476120658210821e-05,0.9804062008700278,C
3 ply tin top,3 Ply Tin Top,14,14,2012376.0,8.386008744192557e-05,0.9804900609574697,C
inact pullet nd chick neno,Inact. Pullet ND (Chick Neno),15,15,2001000.0,8.33860247644044e-05,0.9805734469822341,C
zeolite powder,zeolite powder,6,6,1998270.0,8.327225972312163e-05,0.9806567192419573,C
soya hull,SOYA HULL,21,20,1977940.0,8.242506437906349e-05,0.9807391443063364,C
van aarc750s d207 29 382 x9 921 4x52x52,"Van AarC750S-D207(29.382""X9.921"")4X52X52",1,1,1936200.0,8.068566774054963e-05,0.9808198299740769,C
microvit adec,Microvit ADEC,5,5,1908000.0,7.951051236905727e-05,0.980899340486446,C
aqua strongbond,Aqua StrongBond,2,2,1892000.0,7.884375754835238e-05,0.9809781842439943,C
muzl1200 corragate roller,MUZL1200 Corragate Roller,1,1,1891200.0,7.881041980731714e-05,0.9810569946638016,C
bleaching earth aakash clay,Bleaching Earth (Aakash clay),3,3,1875000.0,7.813533055135344e-05,0.9811351299943529,C
re organisation of company as below,Re-organisation of company as below:<,1,1,1850000.0,7.709352614400207e-05,0.981212223520497,C
ib hatchable egg 58th week,IB_Hatchable_Egg_58th_Week,6,2,1839168.68,7.664216146746474e-05,0.9812888656819644,C
die 660 228 s db164 26 x 8 996 1 8x49x49,"DIE 660.228 S-DB164(26""X 8.996)1.8X49X49",1,1,1800500.0,7.503075341744634e-05,0.9813638964353818,C
charges for 1 crane hiring 300 ton,Charges for 1 crane hiring (300 Ton),1,1,1800000.0,7.500991732929931e-05,0.9814389063527111,C
die muzl1200 1 2 x 30nr,Die MUZL1200 1.2 X 30NR,1,1,1795600.0,7.482655975360546e-05,0.9815137329124648,C
contactor mnx12,Contactor - Mnx12,1,1,1785000.0,7.438483468488848e-05,0.9815881177471497,C
ae killed,AE Killed,8,8,1783800.0,7.433482807333562e-05,0.981662452575223,C
g promin 5ltr,G-Promin (5Ltr),52,52,1774800.0,7.395977848668912e-05,0.9817364123537097,C
pcc panel 6500x2100x1200,PCC PANEL 6500x2100x1200,1,1,1774300.0,7.393894239854209e-05,0.9818103512961082,C
pp bag soya doc 70 kg for 46 26 x48,"Pp Bag Soya Doc 70 Kg For 46% (26""X48"")",2,2,1744500.0,7.269711154497925e-05,0.9818830484076532,C
bleaching earth lakshmiwadi,Bleaching Earth  LakshmiWadi,3,3,1722030.0,7.176073774365183e-05,0.9819548091453968,C
caustic soda kg refinary,Caustic soda -Kg (Refinary),1,1,1722000.0,7.175948757836301e-05,0.9820265686329751,C
alluminium sheet 2440 x 1220 x 1 63 mm,ALLUMINIUM SHEET 2440 X 1220 X 1.63 MM,2,1,1720000.0,7.167614322577489e-05,0.9820982447762009,C
